OID,PlaceName,Prop_Tax,Tax_Rev
632,Fremont,71706600,249598398
633,Fresno,70682166,292642541
634,Fullerton,29411822,81104582
635,Galt,2812068,12981942
636,Garden Grove,15302139,113583734
637,Gardena,7489326,49835716
638,Gilroy,9245260,46833902
639,Glendale,34258870,180715817
640,Glendora,6918296,29327816
641,Goleta,3341295,29044336
642,Gonzales,470533,4763183
643,Grand Terrace,591150,5071469
644,Grass Valley,2696752,16471908
645,Greenfield,361626,8592038
646,Gridley,475335,2931269
647,Grover Beach,2466852,10701873
648,Guadalupe,213471,2751176
649,Gustine,570381,2341654
650,Half Moon Bay,1893444,17552590
651,Hanford,5329166,27496525
652,Hawaiian Gardens,9703,18023611
653,Hawthorne,5985773,74980425
654,Hayward,34811731,163714602
655,Healdsburg,2486134,17307292
656,Hemet,5845717,47211054
657,Hercules,1251258,13085539
658,Hermosa Beach,15451986,29835529
659,Hesperia,913552,29434465
660,Hidden Hills,1036062,2274080
661,Highland,6170432,20607788
662,Hillsborough,16023614,25062258
663,Hollister,1203363,27763684
664,Holtville,242347,1841983
665,Hughson,324781,2626628
666,Huntington Beach,55707604,177448493
667,Huntington Park,951429,34308379
668,Huron,35893,1765310
669,Imperial,1452891,7015827
670,Imperial Beach,1743763,13080139
671,Indian Wells,2703362,21924649
672,Indio,7217737,64106979
673,Industry,2404671,116020635
674,Inglewood,8355295,116776435
675,Ione,726642,2496466
676,Irvine,46355903,204138639
677,Irwindale,481590,20451445
678,Isleton,75693,760249
679,Jackson,870555,3191937
680,Jurupa Valley,5234241,33362767
681,Kerman,893415,5935461
682,King City,900988,7639041
683,Kingsburg,1277188,6742118
684,La Canada Flintridge,5508738,13897565
685,La Habra,10342329,38807785
686,La Habra Heights,1557511,2916010
687,La Mesa,7659971,45163144
688,La Mirada,5969889,32273936
689,La Palma,2215965,10498293
690,La Puente,1506438,14273735
691,La Quinta,7028540,50358283
692,La Verne,5260928,24766454
693,Lafayette,5257039,16239761
694,Laguna Beach,33603823,61637999
695,Laguna Hills,7383175,20265675
696,Laguna Niguel,15621461,38806129
697,Laguna Woods,268297,5329907
698,Lake Elsinore,2214755,27955076
699,Lake Forest,9838485,48487216
700,Lakeport,407676,5233001
701,Lakewood,5206883,37814539
702,Lancaster,3816451,87956770
703,Larkspur,8628589,20139152
704,Lathrop,4401993,35106293
705,Lawndale,1070904,14723854
706,Lemon Grove,2491574,14674642
707,Lemoore,881294,8374705
708,Lincoln,6260037,18558154
709,Lindsay,355271,6414873
710,Live Oak,663970,3156767
711,Livermore,33835011,99785007
712,Livingston,1337458,5033602
713,Lodi,10710564,44575559
714,Loma Linda,1314378,16920662
715,Lomita,1591325,9908962
716,Lompoc,4305184,19134437
717,Long Beach,94941038,483509040
718,Loomis,1187677,4765666
719,Los Alamitos,2159009,10921495
720,Los Altos,19221220,36664749
721,Los Altos Hills,4788600,7305331
722,Los Angeles,1444968003,5152048284
723,Los Banos,3761905,20876906
724,Los Gatos,8527207,32207414
725,Loyalton,62693,212315
726,Lynwood,2936714,38245855
727,Madera,4293190,30197963
728,Malibu,11582210,27343986
729,Mammoth Lakes,2571365,36804023
730,Manhattan Beach,27033568,55023306
731,Manteca,8538973,53939071
732,Maricopa,126233,302076
733,Marina,2417421,22225218
734,Martinez,9163549,31208066
735,Marysville,1206670,8320212
736,Maywood,264748,11177858
737,McFarland,413547,4210304
738,Mendota,435423,3023903
739,Menifee,13549229,47344502
740,Menlo Park,25046664,60305770
741,Merced,6796208,43129409
742,Mill Valley,15524791,26894523
743,Millbrae,5860375,26390109
744,Milpitas,17520871,124011226
745,Mission Viejo,24179990,61202996
746,Modesto,15692763,122437100
747,Monrovia,7798249,39785260
748,Montague,153443,434316
749,Montclair,3073023,28523956
750,Monte Sereno,1368370,2404343
751,Montebello,4204370,49099479
752,Monterey,7613771,72513994
753,Monterey Park,9473771,43423851
754,Moorpark,5054125,17754509
755,Moraga,2284891,9089979
756,Moreno Valley,18670988,101566789
757,Morgan Hill,5415983,39949020
758,Morro Bay,3309966,12960047
759,Mountain View,83019486,152202602
760,Mt. Shasta,550975,3467412
761,Murrieta,20121964,64617980
762,Napa,24323788,84597921
763,National City,3769392,49389142
764,Needles,1303700,4334691
765,Nevada City,1280107,4765454
766,Newark,15393418,57972195
767,Newman,668203,3302378
768,Newport Beach,93260377,184520562
769,Norco,1470063,19333804
770,Norwalk,7082294,49560918
771,Novato,7432276,35597488
772,Oakdale,1621731,13208577
773,Oakland,126370208,820803392
774,Oakley,3420816,15038778
775,Oceanside,42585364,115691264
776,Ojai,1656129,8850866
777,Ontario,32294484,257098271
778,Orange,23663183,110633219
779,Orange Cove,248070,1828470
780,Orinda,5132064,16470452
781,Orland,896587,5087710
782,Oroville,512222,15647571
783,Oxnard,36601012,134962984
784,Pacific Grove,5237250,22583371
785,Pacifica,12075802,28366839
786,Palm Desert,5293349,61065909
787,Palm Springs,24557058,128038204
788,Palmdale,6711053,91218556
789,Palo Alto,35379670,137156473
790,Palos Verdes Estates,8359288,12048279
791,Paradise,5210223,12449147
792,Paramount,1679106,28247815
793,Parlier,256194,3094202
794,Pasadena,58546004,207409181
795,Patterson,3126625,13060761
796,Perris,5687412,68681887
797,Petaluma,9335794,41392795
798,Pico Rivera,4048061,42666829
799,Piedmont,13572968,24052837
800,Pinole,2239568,18407035
801,Pismo Beach,4324213,22097529
802,Pittsburg,3619811,32929317
803,Placentia,8839771,30292245
804,Placerville,276531,10405337
805,Pleasant Hill,3133702,27463983
806,Pleasanton,60078434,113356911
807,Plymouth,229828,1299257
808,Point Arena,54254,393130
809,Pomona,17070815,90806094
810,Port Hueneme,1625599,11595330
811,Porterville,2872395,29472718
812,Portola,241186,779015
813,Portola Valley,2400052,4915729
814,Poway,10659183,43199520
815,Rancho Cordova,10361196,67596171
816,Rancho Cucamonga,34372212,136674625
817,Rancho Mirage,3014310,27767115
818,Rancho Palos Verdes,8677523,30796208
819,Rancho Santa Margarita,2536129,16989901
820,Red Bluff,1636800,10774570
821,Redding,10498903,58647255
822,Redlands,20331796,57514634
823,Redondo Beach,27364739,68212426
824,Redwood City,39074485,126150248
825,Reedley,1240262,8301903
826,Rialto,6888842,72415985
827,Richmond,41785482,182125094
828,Ridgecrest,398761,13200593
829,Rio Dell,116555,1291810
830,Rio Vista,1669673,5647870
831,Ripon,1734026,8212975
832,Riverbank,1302123,7767690
833,Riverside,23189223,255375386
834,Rocklin,11560177,44453724
835,Rohnert Park,3857064,31941616
836,Rolling Hills,1184571,1598766
837,Rolling Hills Estates,2372327,6148454
838,Rosemead,2988895,20615769
839,Roseville,35897445,116768294
840,Ross,3855218,5896595
841,Sacramento,125793000,453532000
842,Salinas,15362471,138418506
843,San Anselmo,7190978,18332729
844,San Bernardino,19583,117185683
845,San Bruno,7514666,34906241
846,San Buenaventura,26545851,99691627
847,San Carlos,10900417,40848586
848,San Clemente,25863686,52729383
849,San Diego,380996652,1466538588
850,San Dimas,4278688,22677628
851,San Fernando,1830526,22349260
852,San Francisco,1474328175,5050681385
853,San Gabriel,5702424,34416236
854,San Jacinto,1927991,13212213
855,San Joaquin,34212,1007564
856,San Jose,206965556,1009198340
857,San Juan Bautista,377392,1471578
858,San Juan Capistrano,6859422,26325720
